Vg_x_V,Vg_y_V,charge_total,occ_dot1,occ_dot2,sensor
0.03428571428571428,0.004897959183673469,1,1.0,1.16477814053464e-77,1.0
0.03551020408163265,0.004897959183673469,1,1.0,1.9974439613193003e-76,1.0
0.03673469387755102,0.004897959183673469,1,1.0,3.4253582203901235e-75,1.0
0.037959183673469385,0.004897959183673469,1,1.0,5.874046614175964e-74,1.0
0.03918367346938775,0.004897959183673469,1,1.0,1.0073230712079906e-72,1.0
0.04040816326530612,0.004897959183673469,1,1.0,1.7274288687787872e-71,1.0
0.04163265306122449,0.004897959183673469,1,1.0,2.962317236625639e-70,1.0
0.04285714285714286,0.004897959183673469,1,1.0,5.07999117591097e-69,1.0
0.044081632653061226,0.004897959183673469,1,1.0,8.711528268569202e-68,1.0
0.04530612244897959,0.004897959183673469,1,1.0,1.4939144999688e-66,1.0
0.046530612244897955,0.004897959183673469,1,1.0000000000000002,2.561870276274611e-65,1.0000000000000002
0.04775510204081632,0.004897959183673469,1,1.0000000022928743,4.393276387335214e-64,1.0000000022928743
0.04897959183673469,0.004897959183673469,1,1.0551003426003893,7.118780646296562e-63,1.0551003426003893
0.05020408163265306,0.004897959183673469,2,1.999999325716169,8.711522394526547e-68,1.999999325716169
0.05142857142857143,0.004897959183673469,2,1.9999999999999736,5.87404661417631e-74,1.9999999999999736
0.052653061224489796,0.004897959183673469,2,2.0,3.960777324227082e-80,2.0
0.05387755102040816,0.004897959183673469,2,2.0,2.6706899080897482e-86,2.0
0.055102040816326525,0.004897959183673469,2,2.0,1.8008579336337056e-92,2.0
0.05632653061224489,0.004897959183673469,2,2.0,9.22051316608478e-96,2.0
0.05755102040816326,0.004897959183673469,2,2.0,1.5791165425901948e-94,2.0
0.05877551020408163,0.004897959183673469,2,2.0,2.707980766710834e-93,2.0
0.06,0.004897959183673469,2,2.0,4.6438370034580535e-92,2.0
0.0,0.006122448979591836,0,2.3746152629591874e-95,1.703640920754792e-64,1.703640920754792e-64
0.0012244897959183673,0.006122448979591836,0,6.039230544444893e-88,2.9215239804002946e-63,2.9215239804002946e-63
0.0024489795918367346,0.006122448979591836,0,1.5359248353986095e-80,5.0100360140872224e-62,5.0100360140872224e-62
0.003673469387755102,0.006122448979591836,0,3.906234548644833e-73,8.591564207872906e-61,8.591564207876812e-61
0.004897959183673469,0.006122448979591836,0,9.934515021411803e-66,1.4733422141169043e-59,1.4733432075684066e-59
0.006122448979591836,0.006122448979591836,0,2.5265914650439078e-58,2.5265914650439078e-58,5.0531829300878155e-58
0.007346938775510204,0.006122448979591836,0,6.42574339811661e-51,4.332777795998439e-57,6.425747730894406e-51
0.00857142857142857,0.006122448979591836,0,1.6342245586474538e-43,7.430153900709989e-56,1.6342245586481968e-43
0.009795918367346938,0.006122448979591836,0,4.1562349173004974e-36,1.2741753578783104e-54,4.1562349173004974e-36
0.011020408163265306,0.006122448979591836,0,1.0570327435346297e-28,2.1850460492739954e-53,1.0570327435346297e-28
0.012244897959183673,0.006122448979591836,0,2.6882941968786782e-21,3.747071553320374e-52,2.6882941968786782e-21
0.01346938775510204,0.006122448979591836,0,6.836993208748306e-14,6.425743398116171e-51,6.836993208748306e-14
0.014693877551020407,0.006122448979591836,0,1.738812474872506e-06,1.1019300228193946e-49,1.738812474872506e-06
0.015918367346938776,0.006122448979591836,1,0.9778870423068045,4.1786211525941777e-50,0.9778870423068045
0.01714285714285714,0.006122448979591836,1,0.9999999991108608,2.8812924743289636e-56,0.9999999991108608
0.01836734693877551,0.006122448979591836,1,1.0,1.9428102390936288e-62,1.0
0.019591836734693877,0.006122448979591836,1,1.0,1.3100064139272639e-68,1.0
0.020816326530612245,0.006122448979591836,1,1.0,8.833167395992844e-75,1.0
0.022040816326530613,0.006122448979591836,1,1.0,6.090750468431992e-81,1.0
0.023265306122448978,0.006122448979591836,1,1.0,2.309669236295079e-81,1.0
0.024489795918367346,0.006122448979591836,1,1.0,3.960777324226791e-80,1.0
0.025714285714285714,0.006122448979591836,1,1.0,6.792221173360349e-79,1.0
0.02693877551020408,0.006122448979591836,1,1.0,1.1647781405347062e-77,1.0
0.028163265306122447,0.006122448979591836,1,1.0,1.9974439613193003e-76,1.0
0.029387755102040815,0.006122448979591836,1,1.0,3.4253582203901235e-75,1.0
0.030612244897959183,0.006122448979591836,1,1.0,5.8740466141756304e-74,1.0
0.03183673469387755,0.006122448979591836,1,1.0,1.0073230712079906e-72,1.0
0.03306122448979592,0.006122448979591836,1,1.0,1.7274288687787872e-71,1.0
0.03428571428571428,0.006122448979591836,1,1.0,2.962317236625639e-70,1.0
0.03551020408163265,0.006122448979591836,1,1.0,5.07999117591097e-69,1.0
0.03673469387755102,0.006122448979591836,1,1.0,8.711528268569202e-68,1.0
0.037959183673469385,0.006122448979591836,1,1.0,1.4939144999689697e-66,1.0
0.03918367346938775,0.006122448979591836,1,1.0,2.5618702762748296e-65,1.0
0.04040816326530612,0.006122448979591836,1,1.0,4.393276397408444e-64,1.0
0.04163265306122449,0.006122448979591836,1,1.0,7.533901182573862e-63,1.0
0.04285714285714286,0.006122448979591836,1,1.0,1.2919666757653816e-61,1.0
0.044081632653061226,0.006122448979591836,1,1.0,2.2155558598900904e-60,1.0
0.04530612244897959,0.006122448979591836,1,1.0,3.799391935078507e-59,1.0
0.046530612244897955,0.006122448979591836,1,1.0000000000000016,6.515466090326633e-58,1.0000000000000016
0.04775510204081632,0.006122448979591836,1,1.0000000393198296,1.1173181769715203e-56,1.0000000393198296
0.04897959183673469,0.006122448979591836,1,1.499999999999975,9.580281667172373e-56,1.499999999999975
0.05020408163265306,0.006122448979591836,2,1.9999999606801702,1.2919666249656185e-61,1.9999999606801702
0.05142857142857143,0.006122448979591836,2,1.9999999999999984,8.711528268569188e-68,1.9999999999999984
0.052653061224489796,0.006122448979591836,2,2.0,5.874046614176465e-74,2.0
0.05387755102040816,0.006122448979591836,2,2.0,3.960777324306718e-80,2.0
0.055102040816326525,0.006122448979591836,2,2.0,2.6720555591664563e-86,2.0
0.05632653061224489,0.006122448979591836,2,2.0,2.3420951694576274e-88,2.0
0.05755102040816326,0.006122448979591836,2,2.0,4.016081680911408e-87,2.0
0.05877551020408163,0.006122448979591836,2,2.0,6.887060996864623e-86,2.0
0.06,0.006122448979591836,2,2.0,1.1810419444437857e-84,2.0
0.0,0.007346938775510204,0,4.072158252624257e-94,4.332777795998316e-57,4.332777795998316e-57
0.0012244897959183673,0.007346938775510204,0,1.0356499802167923e-86,7.430153900709989e-56,7.430153900709989e-56
0.0024489795918367346,0.007346938775510204,0,2.633912571624164e-79,1.2741753578783104e-54,1.2741753578783104e-54
0.003673469387755102,0.007346938775510204,0,6.698687362990912e-72,2.1850460492739333e-53,2.1850460492739333e-53
0.004897959183673469,0.007346938775510204,0,1.703640920754792e-64,3.747071553320374e-52,3.747071553322078e-52
0.006122448979591836,0.007346938775510204,0,4.332777795998316e-57,6.42574339811661e-51,6.425747730894406e-51
0.007346938775510204,0.007346938775510204,0,1.1019319388723962e-49,1.1019319388723649e-49,2.2038638777447613e-49
0.00857142857142857,0.007346938775510204,0,2.8024838915775746e-42,1.889670848454581e-48,2.802485781248423e-42
0.009795918367346938,0.007346938775510204,0,7.127405682231971e-35,3.2405412616982535e-47,7.127405682235211e-35
0.011020408163265306,0.007346938775510204,0,1.8126745317531975e-27,5.557109417948089e-46,1.8126745317531975e-27
