Detuning_meV,Cq_fF,PhaseShift_deg,I_mV,Q_mV
0.03467336683417088,0.010784846400246642,-0.0001783805042613224,0.9963980595043445,-3.1021131017055025e-06
0.03768844221105529,0.009300172420616749,-0.00015382411436753164,0.9963980595055805,-2.6750670008136494e-06
0.04070351758793969,0.008040703422157701,-0.00013299259700168338,0.9963980595064856,-2.3127980229536205e-06
0.04371859296482415,0.006973562976728537,-0.00011534217865525822,0.9963980595071493,-2.005849714730564e-06
0.046733668341708556,0.006069061435898766,-0.00010038179489638256,0.9963980595076383,-1.7456822560885847e-06
0.04974874371859296,0.005301282789543646,-8.768279696729449e-05,0.996398059508,-1.5248412621834724e-06
0.05276381909547742,0.004648084937826651,-7.687895629430928e-05,0.9963980595082695,-1.3369578618129505e-06
0.055778894472361826,0.00409080625698983,-6.766161110457222e-05,0.9963980595084712,-1.1766642950106026e-06
0.05879396984924623,0.0036138514460781813,-5.9772816353709455e-05,0.9963980595086236,-1.0394747873641247e-06
0.06180904522613069,0.003204252391704287,-5.2998080475701166e-05,0.9963980595087389,-9.216592389956794e-07
0.0648241206030151,0.0028512527468266716,-4.7159494338645864e-05,0.9963980595088279,-8.201237341700844e-07
0.0678391959798995,0.0025459376470238497,-4.210960679844178e-05,0.9963980595088959,-7.323040345594272e-07
0.0708542713567839,0.002280914978415979,-3.772615287495674e-05,0.9963980595089491,-6.560738999766521e-07
0.07386934673366836,0.00205004689764197,-3.3907613126647956e-05,0.9963980595089903,-5.89667864004945e-07
0.07688442211055277,0.00184822676755334,-3.056952417772569e-05,0.9963980595090233,-5.316170724904467e-07
0.07989949748743717,0.0016711954267348817,-2.764143983983761e-05,0.9963980595090488,-4.806964361513542e-07
0.08291457286432163,0.001515390652707504,-2.506444123157857e-05,0.9963980595090697,-4.358813304935184e-07
0.08592964824120604,0.001377824180568983,-2.278910269036159e-05,0.9963980595090861,-3.9631222214973255e-07
0.08894472361809044,0.0012559813574217682,-2.077383205916537e-05,0.9963980595090993,-3.6126580575790934e-07
0.0919597989949749,0.001147739268587256,-1.8983516491390588e-05,0.9963980595091102,-3.3013145392956173e-07
0.09497487437185932,0.0010512998785825955,-1.738841662803525e-05,0.9963980595091189,-3.023919865189191e-07
0.09798994974874373,0.0009651353516169528,-1.596326218415106e-05,0.9963980595091263,-2.776079424854005e-07
0.10100502512562819,0.000887943244974915,-1.4686510859787691e-05,0.9963980595091321,-2.554046920386393e-07
0.10402010050251259,0.0008186097078138242,-1.3539739654402778e-05,0.9963980595091368,-2.354618513362874e-07
0.107035175879397,0.0007561791778092285,-1.2507143637133526e-05,0.9963980595091408,-2.1750456588511338e-07
0.1100502512562814,0.0006998293603061945,-1.1575122125474088e-05,0.9963980595091445,-2.0129631401158403e-07
0.11306532663316586,0.0006488505102343162,-1.073193598933171e-05,0.9963980595091473,-1.8663294723313835e-07
0.11608040201005027,0.0006026282267934615,-9.967423084876906e-06,0.99639805950915,-1.7333774153138964e-07
0.11909547738693467,0.0005606291230912347,-9.272761242815701e-06,0.9963980595091518,-1.6125727561702334e-07
0.12211055276381913,0.0005223888547369669,-8.640270233486198e-06,0.9963980595091534,-1.502579870183054e-07
0.12512562814070352,0.00048750208944182527,-8.063245902880712e-06,0.9963980595091548,-1.4022328763571652e-07
0.12814070351758794,0.0004556140781229521,-7.535820724743575e-06,0.9963980595091562,-1.3105113868341686e-07
0.13115577889447239,0.000426413551119951,-7.0528463234231345e-06,0.9963980595091573,-1.2265200771150286e-07
0.1341708542713568,0.0003996267140557281,-6.609794160726137e-06,0.9963980595091582,-1.149471415080188e-07
0.13718592964824122,0.0003750121586707212,-6.202671367731741e-06,0.996398059509159,-1.0786710237827902e-07
0.1402010050251256,0.00035235653726813044,-5.827949184563183e-06,0.9963980595091594,-1.0135052368195574e-07
0.1432160804020101,0.0003314708763081239,-5.482502012809845e-06,0.99639805950916,-9.534304992868633e-08
0.14623115577889448,0.0003121874260714052,-5.163555271654991e-06,0.9963980595091605,-8.979642997387963e-08
0.1492462311557789,0.00029435696176903996,-4.868640805358932e-06,0.9963980595091612,-8.466774153581627e-08
0.15226130653266334,0.00027784646526896544,-4.595558505270505e-06,0.9963980595091614,-7.991872378604852e-08
0.15527638190954776,0.00026253712898090026,-4.342343296555265e-06,0.996398059509162,-7.55152032345136e-08
0.15829145728643215,0.00024832263287590276,-4.107236659714079e-06,0.9963980595091623,-7.142659847658732e-08
0.16130653266331663,0.000235107653862546,-3.888661951386982e-06,0.9963980595091623,-6.762549101133022e-08
0.16432160804020102,0.00022280657309831642,-3.685203049840321e-06,0.9963980595091625,-6.408725387739491e-08
0.16733668341708544,0.00021134235255807504,-3.4955857536313008e-06,0.9963980595091627,-6.078972816786332e-08
0.17035175879396988,0.00020064555646984487,-3.318661593028203e-06,0.9963980595091629,-5.771294150393526e-08
0.1733668341708543,0.00019065349721262282,-3.1533937261933794e-06,0.9963980595091634,-5.483886276353107e-08
0.1763819095477387,0.0001813094882348135,-2.9988445598264246e-06,0.9963980595091634,-5.215118679899284e-08
0.1793969849246231,0.00017256218930407355,-2.854164930274727e-06,0.9963980595091634,-4.963514629197957e-08
0.18241206030150756,0.00016436503148385491,-2.7185845866855536e-06,0.9963980595091638,-4.7277346251420004e-08
