t_ueV,J_numerical_ueV,J_analytical_ueV,Error_percent
101.66666666666664,12.8683903048147,12.92013888888888,0.4005265308617069
103.13131313131312,13.240301688733432,13.295084685236196,0.412054513376655
104.59595959595957,13.617445076496223,13.675393454749509,0.4237419453051311
106.06060606060603,13.999816800414955,14.061065197428826,0.4355885998243665
107.52525252525251,14.387413145456144,14.452099913274152,0.44759424724564745
108.98989898989898,14.780230349416128,14.848497602285475,0.45975865503618124
110.45454545454544,15.178264603099763,15.250258264462802,0.4720815878299217
111.91919191919189,15.581512050500388,15.657381899806134,0.48456280744283303
113.38383838383835,15.989968788980677,16.06986850831547,0.49720207289466756
114.84848484848483,16.403630869459114,16.48771808999081,0.509999140407083
116.3131313131313,16.82249429659519,16.910930644832153,0.5229537634227706
117.77777777777776,17.246555028975422,17.339506172839496,0.536065692630116
119.24242424242422,17.67580897930215,17.77344467401285,0.5493346759812768
120.70707070707068,18.110252014592138,18.212746148352203,0.562760458665579
122.17171717171716,18.549879956358513,18.65741059585756,0.5763427831883645
123.63636363636361,18.99468858081589,19.107438016528917,0.5900813893285607
125.10101010101009,19.444673619069135,19.562828410366283,0.6039760141970963
126.56565656565655,19.89983075731676,20.023581777369653,0.6180263922249644
128.030303030303,20.36015563704923,20.489698117539014,0.6322322551882708
129.49494949494948,20.82564385525365,20.961177430874393,0.6465933322100158
130.95959595959596,21.296290964610662,21.438019717375774,0.6611093498073348
132.4242424242424,21.772092473704348,21.92022497704315,0.6757800318835309
133.88888888888889,22.253043847230607,22.407793209876537,0.6906050997370062
135.35353535353536,22.73914050620121,22.90072441587593,0.7055842720971023
136.81818181818178,23.230377828153806,23.399018595041312,0.7207172651388226
138.28282828282826,23.72675114736963,23.902675747372708,0.7360037924725457
139.74747474747474,24.228255755077978,24.411695872870112,0.75144356519696
141.2121212121212,24.734886899677285,24.926078971533506,0.767036291887584
